uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
a7e2d9c2-31f9-4802-9186-c9ab959a3f79,366902811,2026-05-30 20:26:30-06:00,2026-05-30,-105.0648444478,40.6613372034,1577.0,,10.0,24.0,0.5,6.5,,,Agrocybe praecox,"Colorado, US",1,
53592f11-2730-4965-a397-e855fb82330d,364525262,2026-05-23 13:04:09-06:00,2026-05-23,-104.9551385,39.7505978,1607.0,,7.1,22.4,,9.3,,1013.5,Agrocybe praecox,"City Park, Denver, CO, USA",1,
948445cb-e4ac-45cf-badd-988acbb1c580,355085361,2026-04-25 15:02:12-06:00,2026-04-25,-105.2169716667,39.9908216667,1622.0,,0.0,11.0,0.1,1.9,,,Agrocybe praecox,"Baseline Rd, Boulder, CO, US",1,
e91e23cc-bf5e-4bc8-8be2-54d7d9764a98,345525625,2026-03-27 12:52:13-06:00,2026-03-27,-104.9776083333,39.7636083333,1589.0,,4.4,10.7,,23.7,,1029.8,Agrocybe praecox,"Lawrence St, Denver, CO, US",1,
d9472ce9-bc98-4701-b8f8-5d0a4519d189,299531693,2025-07-09 07:48:52-06:00,2025-07-09,-104.9509116667,39.7247366667,1634.0,,18.2,36.0,0.0,12.6,,1012.8,Agrocybe praecox,"St Paul St, Denver, CO, US",2,
b5288f31-b503-49ac-94c6-552647108a6e,293219954,2025-06-26 17:34:24-06:00,2025-06-26,-105.071434021,39.7085647583,1670.0,,13.8,29.2,0.0,12.6,,1013.2,Agrocybe praecox,Lakewood,1,
243e308d-a0bb-45c0-9d3c-cfcb2ebc8b74,291128909,2025-06-19 16:10:23-06:00,2025-06-19,-104.906375,38.7311416667,2644.0,,16.0,31.0,0.0,10.5,,1021.2,Agrocybe praecox,"Rock Creek, Colorado Springs, CO, USA",1,
76e8cf70-25ca-4853-800e-99eb4157d16a,289601878,2025-06-14 12:33:05-06:00,2025-06-14,-105.37909413,39.5648515,2560.0,,0.0,13.3,0.3,12.3,,1017.6,Agrocybe praecox,"Shadow Mountain, CO, EE. UU.",1,
8f9e1e54-cdde-49c2-a027-d49407fc40b6,288561704,2025-06-10 14:09:55-06:00,2025-06-10,-105.9459367767,35.675890695,2135.0,,11.1,26.7,0.0,14.8,,1014.9,Agrocybe praecox,"Santa Fe County, US-NM, US",1,
e2453724-1be9-4dbf-b736-5e3ba3ad5fe7,288347804,2025-06-09 14:27:50-06:00,2025-06-09,-104.8604395834,39.59162439,1748.0,,11.1,25.0,0.0,8.5,,1016.2,Agrocybe praecox,"Colorado, US",1,
a8b4be0c-a8e6-41db-982b-004e437d6668,287930400,2025-06-08 10:26:19-06:00,2025-06-08,-104.7842153506,39.6716103472,1692.0,,10.2,21.1,5.3,10.7,,1014.8,Agrocybe praecox,"Colorado, US",1,
131436cc-bc85-4484-a698-e8a43546f73e,287115527,2025-06-05 12:53:55-06:00,2025-06-05,-105.1228561401,39.7592849731,1674.0,,11.0,21.0,10.6,10.6,,1018.6,Agrocybe praecox,Lakewood,1,
2bbc44e5-194a-498e-9536-838c2e877cf9,286350142,2025-06-02 13:14:08-06:00,2025-06-02,-104.9211425781,39.6564979553,1685.0,,12.8,25.0,16.3,13.8,,1007.4,Agrocybe praecox,Denver,1,
caa6f87d-3bc6-4c7f-9db4-74d97d7a44f9,284534865,2025-05-27 06:46:50-06:00,2025-05-27,-105.13495,39.850625,1716.0,,7.8,22.0,5.0,9.6,,1021.7,Agrocybe praecox,"W 85th Ave, Arvada, CO, US",1,
8a08a5c5-b406-4f9b-8ecf-232893faf15d,281512778,2025-05-16 08:07:33-06:00,2025-05-16,-105.083122268,40.1886289901,1537.0,,7.8,23.1,0.0,10.6,,1013.0,Agrocybe praecox,"E 17th Ave, Longmont, CO, US",1,
ec0d69ad-fa0e-454d-8178-979befb24160,279588264,2025-05-08 15:20:43-06:00,2025-05-08,-105.26254109,39.93773436,1722.0,,4.0,20.0,0.0,5.1,,1024.0,Agrocybe praecox,"Boulder, Colorado 80303, EE. UU.",1,
6ca616ed-cb52-4438-92c5-63ce70e7034c,279588091,2025-05-08 14:29:16-06:00,2025-05-08,-105.25922252,39.93862765,1716.0,,4.0,20.0,0.0,5.1,,1024.0,Agrocybe praecox,"Eldorado Springs, Colorado, EE. UU.",1,
7d5ede66-c1c3-4b29-b54f-0717e8257cde,279107290,2025-05-06 17:12:22-06:00,2025-05-06,-105.14145688,40.16835202,1523.0,,7.9,12.0,14.2,8.4,,1019.6,Agrocybe praecox,"Longmont, Colorado, EE. UU.",2,
