uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
a981141c-63a3-47e9-854e-e0c0c01d7ebe,390987715,2026-08-02 12:08:00-06:00,2026-08-02,-106.7443214094,39.2838819818,3211.0,,13.9,32.2,0.0,6.0,,,Galerina marginata,"Colorado, US",1,
37658253-fd5c-49ae-8163-2488c148cb0c,385048411,2026-07-24 09:57:00-06:00,2026-07-24,-105.9887124171,35.6608534135,2046.0,,17.8,32.2,0.5,7.0,,,Galerina marginata,"New Mexico, US",1,
6b1d120c-f630-49fb-96b5-9c20a6f9080c,311760393,2025-09-04 10:51:00-06:00,2025-09-04,-105.7994,35.79929444,3249.0,,11.0,28.0,0.2,15.3,,1022.3,Galerina marginata,"Santa Fe, New Mexico, United States",2,
6109e4f6-d3ab-477f-87fa-14323463f49e,311168345,2025-08-30 11:37:30-06:00,2025-08-30,-107.9729762583,39.0376954442,3110.0,,13.0,31.0,0.0,8.5,,1024.1,Galerina marginata,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1,
64a012e8-40f6-4164-bde1-898d00b3dd0a,311165180,2025-08-30 10:34:51-06:00,2025-08-30,-107.9727496046,39.0369779607,3113.0,,13.0,31.0,0.0,8.5,,1024.1,Galerina marginata,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1,
7fe553f3-80cb-40cb-8d75-a9a702537695,310268622,2025-08-30 10:34:42-06:00,2025-08-30,-107.9726861111,39.0375583333,3096.0,,13.0,31.0,0.0,8.5,,1024.1,Galerina marginata,"Cedaredge, CO 81413, USA",1,
6790a3fe-a8b3-4189-a5f3-980e288d0777,307205522,2025-08-17 16:01:31-06:00,2025-08-17,-107.9113166667,37.8138916667,3206.0,,8.0,23.0,0.1,9.2,,1031.8,Galerina marginata,"Telluride, CO, US",2,
8bc599b1-a049-4493-8985-a55007526c51,307048439,2025-08-13 11:35:32-06:00,2025-08-13,-107.8727552667,37.8074161079,3130.0,,13.0,26.0,0.0,8.0,,1031.2,Galerina marginata,"San Miguel County, US-CO, US",2,
0d1613f1-088d-4fa9-8b2c-b441eec11a22,306834855,2025-08-16 12:02:09-06:00,2025-08-16,-107.8489888889,37.7954944444,3300.0,,11.0,21.0,2.7,5.8,,1032.0,Galerina marginata,"Ophir, CO 81426, USA",2,
fea7fa38-0364-41ba-83ab-68cb82b10b8c,306337835,2025-08-14 11:34:19-06:00,2025-08-14,-107.875245,37.8135083333,3048.0,,14.0,23.0,1.2,9.1,,1030.5,Galerina marginata,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",2,
f416a18d-70c9-4f16-b015-8ae35cab8043,305065951,2025-08-09 10:04:38-06:00,2025-08-09,-106.6516716667,39.5129883333,3055.0,,12.2,29.4,0.0,11.1,,1013.3,Galerina marginata,"Eagle County, US-CO, US",1,
1181e83a-6ef7-4f95-b9fe-f71c46ddbc40,244430420,2024-09-14 12:59:52-06:00,2024-09-14,-108.101723,39.045532,3080.0,,11.4,30.4,0.0,9.7,,1012.3,Galerina marginata,"Mesa County, US-CO, US",1,
be37a06b-adf5-44e3-98b0-b20790693b00,237023516,2024-08-20 17:01:35-06:00,2024-08-20,-107.9964,39.0058777833,2967.0,,16.5,34.3,0.0,10.5,,1016.9,Galerina marginata,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",2,
7c96091d-222d-4040-8121-19d2177c9dd6,236503202,2024-08-16 12:44:56-06:00,2024-08-16,-107.9540082233,37.9891756486,2912.0,,12.0,25.0,0.0,11.9,,1033.2,Galerina marginata,"Colorado, US",1,
659c82e6-a022-49e5-959a-9161f30d8f00,226977148,2024-06-29 10:49:40-06:00,2024-06-29,-106.2338866667,38.8587783333,2839.0,,3.9,21.0,13.3,8.9,,1020.7,Galerina marginata,"Pike and San Isabel National Forests, Buena Vista, CO, US",1,
8a0bdeae-d122-459e-982c-9ef2f370be6c,185238746,2023-09-27 15:31:56-06:00,2023-09-27,-105.5888502672,40.1985952045,2737.0,,-1.3,23.4,0.0,4.1,,1026.7,Galerina marginata,"Allenspark, CO 80510, USA",1,
468a62f0-c8ba-47f7-b376-c3a94d913546,183168016,2023-09-09 10:35:05-06:00,2023-09-09,-106.6508783333,39.5247716667,3105.0,,4.4,28.9,0.0,7.7,,1018.2,Galerina marginata,"White River National Forest, Basalt, CO, US",1,
