uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
8e89012a-f9cc-445b-9396-58a564bd4110,383747598,2026-07-15 17:58:34-06:00,2026-07-15,-107.088926072,39.3381033095,2237.0,,12.8,30.6,0.3,7.2,,1015.0,Hericium coralloides,"Colorado, US",1,
4dad4385-16a3-4c20-9b62-854badcff4a0,309406341,2025-08-23 11:24:42-06:00,2025-08-23,-105.8222633333,35.7964216667,2902.0,,17.2,28.9,,17.2,,1016.3,Hericium coralloides,"Santa Fe National Forest, Tererro, NM, US",1,
87b3ed3e-163e-46b5-baa8-96c5635eb029,306906236,2025-08-14 10:49:52-06:00,2025-08-14,-107.8813383333,37.84192,2890.0,,14.0,23.0,1.2,9.1,,1030.5,Hericium coralloides,"Ophir, CO, US",1,
525a5824-dae8-4407-b803-1b731460a004,304857843,2025-08-08 18:53:39-06:00,2025-08-08,-105.1294919722,39.7727659722,1663.0,,21.0,36.0,0.1,12.1,,1017.5,Hericium coralloides,"Fruitdale, Wheat Ridge, CO 80033, USA",1,
3610e03a-2776-4a74-8f8c-d46212f77d9c,304557342,2025-08-01 18:11:57-06:00,2025-08-01,-105.1592825936,38.0374041796,3273.0,,15.0,31.0,0.0,6.5,,1021.1,Hericium coralloides,"Colorado, US",1,
c012dca8-9f6a-4ef9-9952-02b74622e88a,303003514,2025-08-01 18:11:57-06:00,2025-08-01,-105.112075,38.05565,2774.0,,15.0,31.0,0.0,6.5,,1021.1,Hericium coralloides,"Custer County, US-CO, US",3,
b280df4e-9a5c-4433-a4a4-6b94b7c941e8,286676592,2025-06-03 16:09:24-06:00,2025-06-03,-105.2790916449,40.2071235294,1714.0,,10.0,13.6,9.0,7.8,,1020.0,Hericium coralloides,"Colorado, US",2,
2c601e17-d41a-49fa-91ac-06e54a739633,286417661,2025-06-02 17:56:55-06:00,2025-06-02,-105.2295573703,40.3099269482,1844.0,,11.5,25.0,8.7,6.0,,1013.3,Hericium coralloides,"Colorado, US",1,
b908db39-395e-4f6f-b335-d15bad148a78,254462987,2022-08-08 18:56:00-06:00,2022-08-08,-105.0438244504,38.0728618349,2537.0,,17.1,28.4,0.8,8.7,,1018.8,Hericium coralloides,"Colorado, US",3,
2e6964cf-cc54-4711-9880-e78063e93dd7,243503962,2024-07-27 11:11:35-06:00,2024-07-27,-106.5603838322,35.9443300055,2725.0,,13.8,28.2,,10.8,,1022.5,Hericium coralloides,"Sandoval County, US-NM, US",2,
39f3b71f-6dd7-49d2-8de6-db64f4824962,241396117,2024-09-12 17:06:08-06:00,2024-09-12,-107.91997164,37.33714517,2213.0,,3.9,27.8,0.0,10.9,,1007.8,Hericium coralloides,"La Plata County, US-CO, US",1,
83c8ef9f-6434-452c-a1c5-f14e391c4e09,238283388,2024-08-24 10:47:12-06:00,2024-08-24,-107.5295090692,39.3022399481,2533.0,,6.7,17.1,0.4,16.1,,1019.4,Hericium coralloides,"Colorado, US",2,
8b923534-c174-4b7c-a968-ecb88b186667,235780911,2024-08-14 11:25:42-06:00,2024-08-14,-107.9075527778,37.8955166667,2534.0,,9.0,20.0,0.1,7.9,,1032.4,Hericium coralloides,"Mountain Village, CO 81435, USA",3,
9920f399-9d78-46d7-a129-325b545a9aea,235777222,2024-08-14 11:12:57-06:00,2024-08-14,-107.9076216667,37.8955633333,2534.0,,9.0,20.0,0.1,7.9,,1032.4,Hericium coralloides,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",2,
0c8d41b2-f55c-49e9-a3b0-a634c69c2e9a,235357705,2024-08-10 12:27:14-06:00,2024-08-10,-107.0122083333,38.5159333333,2310.0,,10.0,22.2,,8.3,,1023.3,Hericium coralloides,"Curecanti National Recreation Area, Gunnison, CO, US",2,
11c83802-ec31-4336-a1bb-39d0375e974b,231340966,2024-07-23 17:28:22-06:00,2024-07-23,-107.5913351675,39.1586032933,2858.0,,7.5,20.8,0.0,9.2,,1019.3,Hericium coralloides,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",1,
d1b99aa8-0a44-48ea-a240-7fc774fa844c,231333511,2024-07-23 14:23:45-06:00,2024-07-23,-107.62217,38.9624866667,2435.0,,15.6,34.9,0.0,10.0,,1014.6,Hericium coralloides,"Grand Mesa Uncompahgre and Gunnison National Forests, Paonia, CO, US",1,
424d07aa-e6c5-4262-9a56-360c6bcc83d0,183776590,2023-09-17 17:02:15-06:00,2023-09-17,-108.3349422753,37.4998424529,2513.0,,7.0,27.0,0.0,9.1,,1025.1,Hericium coralloides,"Colorado, US",1,
2fd85277-8af6-4c4e-a8ae-b2b09557e96a,183775840,2023-09-17 16:55:13-06:00,2023-09-17,-108.2080864098,37.5174368839,2875.0,,7.0,27.0,0.0,9.1,,1025.1,Hericium coralloides,"Colorado, US",1,
2d41a06e-b9d5-4e65-8b70-4cd28b7d55be,183566533,2023-09-16 14:50:52-06:00,2023-09-16,-105.338359981,39.7136021179,2331.0,,8.0,23.0,0.0,7.6,,1026.0,Hericium coralloides,"Colorado, US",1,
1ccafbe4-3f52-44d2-91cd-b350a998df50,179898760,2023-08-23 09:49:31-06:00,2023-08-23,-107.1017426943,39.2699628041,2894.0,,10.0,26.7,,7.2,,1018.6,Hericium coralloides,"Colorado, US",1,
a8d8abae-6824-4210-b743-15066fd45d76,179629199,2017-08-20 14:19:13-06:00,2017-08-20,-107.704055,38.0906805,2219.0,,10.6,23.5,,5.4,,,Hericium coralloides,"US-550, Ridgway, CO, US",2,
be7b3c30-4128-466f-82e9-5f4c922de0a5,138202541,2022-10-09 14:34:48-06:00,2022-10-09,-105.2342902692,39.6900435021,2199.0,,8.0,22.0,0.0,7.4,,1025.6,Hericium coralloides,"Colorado, US",1,
