uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
1d018868-5a25-437d-96f2-c622cf1bd4d4,325911118,2018-08-12,2025-08-15,-105.6392233014,39.4957521521,3800.0,,7.0,12.0,4.9,7.8,,1019.5,Lactarius rubrilacteus,"Colorado, US",1,
68ded645-d4e8-4c8a-819a-4c362af7e33a,323146856,2019-08-16,2025-08-18,-105.7793319828,39.5712888435,3433.0,,5.8,13.4,0.3,8.9,,1022.9,Lactarius rubrilacteus,"Colorado, US",1,
cf4d5663-cf4e-4dc1-91da-4326a062e5a6,304642450,2025-08-07 19:51:36-06:00,2025-08-07,-106.3849984,35.8912344,2865.0,,20.1,30.3,0.7,9.7,,1029.7,Lactarius rubrilacteus,"Los Alamos County, NM, USA",2,
a384bac4-c68a-4d85-b01c-4dca54f93159,240459880,2024-09-07 14:59:36-06:00,2024-09-07,-105.1573671786,39.0924075905,2444.0,,1.8,16.3,1.4,8.9,,1022.6,Lactarius rubrilacteus,"Colorado, US",1,
33c1ccc2-73ac-46bb-b647-56cbf7361e8a,234928756,2024-08-10 10:58:03-06:00,2024-08-10,-105.8014366667,35.8020833333,3326.0,,17.2,28.3,,11.2,,1017.7,Lactarius rubrilacteus,"Santa Fe National Forest, Tererro, NM, US",1,
5444380e-08cd-43d6-b1f9-e4a01748e7c7,234020845,2024-08-05 12:36:30-06:00,2024-08-05,-105.1624445,36.5104216667,2641.0,,6.8,25.9,6.9,3.8,,1032.5,Lactarius rubrilacteus,"Ute Park, NM, US",1,
8b667129-3237-43c1-9dad-48deacf7d860,182742959,2023-09-10 13:03:12-06:00,2023-09-10,-105.157847509,39.3309473733,2334.0,,12.8,19.4,,8.6,,1021.0,Lactarius rubrilacteus,"Colorado, US",1,
4161723b-b54f-4d79-99f2-4e2376c3ffbd,181496813,2023-09-02 12:31:20-06:00,2023-09-02,-104.9875502,39.0400808997,2776.0,,14.9,32.0,0.0,10.5,,1013.4,Lactarius rubrilacteus,"Colorado Springs, CO 80921, USA",2,
cd13eb29-df41-42ba-866f-22d24cc1cebd,180681446,2023-08-28 13:59:22-06:00,2023-08-28,-105.0642611667,39.3140116667,2439.0,,12.8,25.0,,12.1,,1021.1,Lactarius rubrilacteus,"Pike and San Isabel National Forests, Sedalia, CO, US",1,
014bdc28-ae47-4178-be30-6b0612dbfe7a,179784575,2023-08-22 17:06:07-06:00,2023-08-22,-105.435595,39.6786,2829.0,,5.1,15.4,1.5,12.2,,1024.6,Lactarius rubrilacteus,"Evergreen, CO, US",1,
3623b119-5a87-4d53-8434-43f02436ed7e,178608232,2023-08-14 16:49:28-06:00,2023-08-14,-104.9272746965,38.7354480379,2993.0,,13.0,22.0,0.6,13.5,,1031.9,Lactarius rubrilacteus,"Colorado Springs, CO 80906, USA",1,
8d2004e9-9c27-4ec2-849b-c419900f41f2,177274162,2023-07-26 20:16:00-06:00,2023-07-26,-105.2451646467,39.4632015006,2307.0,,18.3,31.1,1.5,9.4,,1015.6,Lactarius rubrilacteus,"Pleasant Park Corridor, CO, USA",2,
240fc70d-fb94-4324-a533-82a9597c5b61,176910172,2023-08-05 15:13:33-06:00,2023-08-05,-105.2121327435,39.4484819138,2195.0,,14.4,27.2,,8.9,,1016.6,Lactarius rubrilacteus,"Colorado, US",2,
a81f0e43-4d77-4a0e-b4b0-805d60cb9752,175424265,2023-07-28 11:59:37-06:00,2023-07-28,-105.5625794656,39.6284850406,3318.0,,2.2,16.5,5.3,12.0,,1024.0,Lactarius rubrilacteus,"Colorado, US",2,
a0ef2102-4ad7-46c8-ac57-5dddd8dd9f56,173315027,2023-07-15 15:44:00-06:00,2023-07-15,-105.3985005678,39.8693760686,2759.0,,15.0,28.0,0.0,4.2,,1023.6,Lactarius rubrilacteus,"Colorado, US",1,
7493f3bb-d343-40cf-9850-29d91e1c2363,146554430,2009-06-27 14:13:00-06:00,2009-06-27,-105.0674317,40.9746537,1952.0,,10.6,24.4,0.0,18.4,,1015.6,Lactarius rubrilacteus,"22998 Rawhide Flats Rd, Wellington, CO 80549, USA",1,
f2bc5df6-7818-46df-b678-0931d250e2b5,132709078,2022-08-28 12:09:33-06:00,2022-08-28,-105.3684383333,39.25427,2634.0,,3.5,15.3,4.9,7.5,,1013.9,Lactarius rubrilacteus,"Pike and San Isabel National Forests, Sedalia, CO, US",1,
62365028-bd1e-43a7-99c2-e00bbc513572,129891110,2022-08-07 14:52:48-06:00,2022-08-07,-107.8224194444,37.4229861111,2038.0,,14.4,28.3,,8.2,,1017.7,Lactarius rubrilacteus,"Durango, CO 81301, USA",1,
8c15edd1-dffb-4bf1-b8ca-6505adb654d2,129870076,2022-08-06 09:30:46-06:00,2022-08-06,-104.9437033333,39.1115916667,2405.0,,16.4,30.0,1.8,14.9,,1013.7,Lactarius rubrilacteus,"Pike and San Isabel National Forests, Palmer Lake, CO, US",2,
754c31c3-7e36-4402-b962-59b504171868,15300487,2018-08-10 12:25:27-06:00,2018-08-10,-105.89083539,39.40531883,3107.0,,2.8,20.0,1.6,8.6,,1019.0,Lactarius rubrilacteus,"Park County, US-CO, US",1,
6e7e80b6-aacd-4f1b-aea8-c04fa31bc2bf,323772102,2025-10-28 13:15:53-07:00,2025-10-28,-122.1173472222,45.6129111111,296.0,,9.0,13.0,0.1,27.7,,1022.7,Lactarius rubrilacteus,"Washougal, WA 98671, USA",1,
7bc0a8e7-aca6-46b0-b106-019928687086,321424548,2025-10-14 15:23:03-07:00,2025-10-14,-121.7437966667,45.6256533333,1062.0,,0.0,15.0,0.0,2.7,,1017.7,Lactarius rubrilacteus,"Cascade Locks, OR, US",1,
c6ede30e-5235-4a7a-b70f-5abc40a68335,307195686,2025-08-12 13:33:39-07:00,2025-08-12,-121.4151837739,45.2148393361,796.0,,19.4,39.4,0.0,11.1,,1009.5,Lactarius rubrilacteus,"Oregon, US",1,
378d27b1-730e-4e39-a212-f11f679a024f,249253053,2024-10-25 11:09:00-07:00,2024-10-25,-121.7686176403,45.2417583681,1089.0,,,,,,,,Lactarius rubrilacteus,"Oregon, US",1,
627c2842-b8f1-4be4-91f8-2e2b33b003bc,190708826,2023-11-10 13:25:56-08:00,2023-11-10,-121.7738458279,45.687986681,55.0,,4.1,10.3,0.1,6.2,,1021.6,Lactarius rubrilacteus,"Columbia River Gorge National Scenic Area, Cascade Locks, OR, US",1,
