uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a6df73bf-f5ba-4bb5-a6ca-ba2a91308647,343736547,2025-12-25 13:22:24-08:00,2025-12-25,-121.8925978972,45.6614439509,95.0,,2.0,5.0,0.9,0.6,,1004.6,Sarcomyxa serotina,"Pacific Crest Trail, Cascade Locks, OR, US",1
5ee3424f-d553-4094-a4dc-41941c02db33,338251802,2026-02-11 13:27:45-08:00,2026-02-11,-122.0167482,45.3762302,356.0,,2.3,13.6,0.0,16.7,,1017.2,Sarcomyxa serotina,"E Rufus Ridge Ln, Brightwood, OR, US",1
d8b15c1f-75d8-41c6-930e-63769d4136f5,338164665,2026-02-10 13:38:28-08:00,2026-02-10,-121.9609135,45.3281745,407.0,,2.3,12.5,0.0,21.1,,1015.8,Sarcomyxa serotina,"E Elk Park Rd, Welches, OR, US",1
eb82ce6b-4c19-444c-b318-401ef6916622,334856082,2026-01-11 14:08:50-08:00,2026-01-11,-122.1963424683,45.5754165649,283.0,,5.0,11.0,0.0,11.8,,1029.2,Sarcomyxa serotina,Washougal,1
72730e3a-f99a-467b-af02-6cc7e096b4ef,334776161,2026-01-14 14:16:36-08:00,2026-01-14,-121.9609135,45.3281745,407.0,,-1.1,7.0,0.0,3.1,,1032.0,Sarcomyxa serotina,"E Elk Park Rd, Welches, OR, US",1
3ac59f72-f752-4b66-adc5-7c42b62f9c45,333346221,2026-01-03 12:54:03-08:00,2026-01-03,-122.0167482,45.3762302,356.0,,5.0,7.0,1.4,30.6,,999.4,Sarcomyxa serotina,"E Rufus Ridge Ln, Brightwood, OR, US",1
176a1f7c-964e-46c4-bad6-7ed89c8eee78,333341325,2026-01-03 11:08:50-08:00,2026-01-03,-122.1546083333,45.5366083333,559.0,,5.0,7.0,1.4,30.6,,999.4,Sarcomyxa serotina,"Columbia River Gorge National Scenic Area, Corbett, OR, US",1
f196511b-62f7-4e78-ae4f-69d138b2f942,333209510,2026-01-02 11:22:34-08:00,2026-01-02,-122.1623528333,45.53687,515.0,,4.0,7.0,0.1,31.0,,1008.6,Sarcomyxa serotina,"Columbia River Gorge National Scenic Area, Corbett, OR, US",1
3c4d47da-b544-4cd5-a5b9-1a60d694758a,331168030,2025-11-15 15:31:00-08:00,2025-11-15,-121.6667944444,45.7975361111,534.0,,7.0,16.0,0.1,2.2,,1013.7,Sarcomyxa serotina,"Skamania County, WA, USA",1
d12d1252-c8b1-4a38-89c8-d9938cca0183,330887184,2025-11-14 14:02:00-08:00,2025-11-14,-121.830007325,45.3789045967,764.0,,9.0,14.0,0.2,2.2,,1012.1,Sarcomyxa serotina,"Clackamas County, OR, USA",1
28c89aea-8e5e-44d8-885a-ecdbcfe412d1,329777219,2025-12-06 12:39:18-08:00,2025-12-06,-122.2213090243,45.5374292906,173.0,,9.0,13.0,9.5,12.9,,1019.8,Sarcomyxa serotina,"E Historic Columbia River Hwy, Corbett, OR, US",1
f34073d5-48e9-4c1b-8366-1daaf0bd842b,329777042,2025-12-06 12:21:14-08:00,2025-12-06,-122.2188562608,45.5359140315,188.0,,9.0,13.0,9.5,12.9,,1019.8,Sarcomyxa serotina,"E Historic Columbia River Hwy, Corbett, OR, US",1
28eda2ea-6276-4449-bb99-308ecb62b8fe,329469393,2025-12-03 11:49:47-08:00,2025-12-03,-122.1226583333,45.568445,441.0,,2.0,8.0,0.0,1.5,,1027.7,Sarcomyxa serotina,"Benson State Park, Corbett, OR, US",1
e66f29c2-6a30-48ea-a0b0-b6affb7e7189,329168176,2025-12-01 15:50:00-08:00,2025-12-01,-122.2247523158,45.3051728447,366.0,,2.0,8.0,0.0,4.0,,1024.7,Sarcomyxa serotina,"Clackamas County, OR, USA",1
533aaad9-133b-42dc-8cfe-b4d17a9e2f0a,328822693,2025-11-29 14:17:05-08:00,2025-11-29,-122.2643938288,45.401381841,274.0,,6.0,9.0,0.1,29.3,,1021.0,Sarcomyxa serotina,"Sandy, OR 97055, USA",1
6ff19d21-d5e0-4d77-ba42-bb48436b9aea,328802127,2025-11-29 11:54:05-08:00,2025-11-29,-122.2416848589,45.5288067174,297.0,,6.0,9.0,0.1,29.3,,1021.0,Sarcomyxa serotina,"NE Alder Meadows Dr, Corbett, OR, US",1
4015f3f5-e615-471c-b454-d0070868ce82,328800536,2025-11-29 11:47:52-08:00,2025-11-29,-122.2419932935,45.528810025,297.0,,6.0,9.0,0.1,29.3,,1021.0,Sarcomyxa serotina,"NE Alder Meadows Dr, Corbett, OR, US",1
f917d2fd-d8e2-4846-8b34-bf2227c5c3ca,328784601,2025-11-28 13:12:34-08:00,2025-11-28,-121.9980099077,45.3543022909,358.0,,8.0,12.0,4.5,22.8,,1021.2,Sarcomyxa serotina,"Mt Hood Village RV Resort, Welches, OR, US",2
463b58ad-45f2-44f7-96d9-ab5262db414e,328693415,2025-11-27 11:59:58-08:00,2025-11-27,-122.1244195,45.53202,734.0,,7.0,14.0,2.2,27.2,,1016.5,Sarcomyxa serotina,"E Larch Mountain Rd, Corbett, OR, US",1
58618f5e-8697-4d75-b07c-c5afb0df0864,328454009,2025-11-25 11:02:24-08:00,2025-11-25,-121.873669998,45.6446537953,978.0,,1.0,6.0,3.0,3.8,,1027.1,Sarcomyxa serotina,"Oregon, US",1
129c1289-896b-49d4-a890-875ec9214bc0,328304292,2025-11-22 12:41:00-08:00,2025-11-22,-122.09923308,45.5683260212,478.0,,1.0,7.0,0.0,2.6,,1022.5,Sarcomyxa serotina,"Multnomah County, OR, USA",1
88386d63-9696-46ac-99cd-f91798f9b227,328197632,2025-11-09 15:52:59-08:00,2025-11-09,-121.9415050573,45.3039661925,472.0,,11.0,14.6,0.0,31.5,,1022.2,Sarcomyxa serotina,"Clackamas County, US-OR, US",1
26792980-9001-4c1a-a830-d174f05f9059,327993660,2025-11-23 11:55:20-08:00,2025-11-23,-122.1950885653,45.5726187251,7.0,,6.0,9.0,0.2,2.6,,1020.2,Sarcomyxa serotina,"Washougal, WA 98671, USA",1
ad061e4d-45af-4111-903f-b3eb050dd8bb,327287896,2025-11-19 12:07:53-08:00,2025-11-19,-122.2666106746,45.4087407303,122.0,,2.0,12.0,0.0,22.0,,1014.2,Sarcomyxa serotina,"Sandy, OR, USA",2
358023ba-6266-418f-822f-1025716e54c6,326894629,2025-11-16 11:30:26-08:00,2025-11-16,-122.1639555556,45.5433944444,406.0,,8.0,12.0,0.0,5.2,,1002.7,Sarcomyxa serotina,"Corbett, OR 97019, USA",1
27960e4e-b7ef-4322-a584-c398d40b3e3f,325631492,2025-11-08 11:56:11-08:00,2025-11-08,-121.5026466667,45.7968716667,113.0,,2.0,11.0,0.0,1.0,,1025.4,Sarcomyxa serotina,"White Salmon, WA, US",1
0f0854ff-c089-43a0-98c0-f038a4b4f7b0,311801409,2023-12-30 13:00:08-08:00,2023-12-30,-122.1143229722,45.574998,245.0,,3.9,9.4,,17.9,,1015.6,Sarcomyxa serotina,"Corbett, OR 97019, USA",1
ebca0594-97f5-46ca-9b8d-ce4b916417e8,262444725,2025-01-05 16:31:00-08:00,2025-01-05,-122.2247587761,45.3046332065,366.0,,6.7,12.2,19.6,7.0,,1023.3,Sarcomyxa serotina,"Clackamas County, OR, USA",1
bd72df4a-dffe-4fd2-8340-3ca7b2f8c0ce,258919156,2024-12-08 15:23:00-08:00,2024-12-08,-122.068665,45.5896191,22.0,,7.2,10.0,,9.1,,1026.7,Sarcomyxa serotina,"Horsetail Falls, Oregon 97014, USA",1
4e54ad2b-0761-42bf-a964-866120875c7d,257897351,2025-01-08 16:07:42-08:00,2025-01-08,-121.8713916667,45.3818583333,627.0,,-0.2,8.7,0.0,4.6,,1033.3,Sarcomyxa serotina,"Zigzag Ranger Station, Rhododendron, OR, US",1
180ee8ca-62cb-455e-9b42-b40f15b5cea7,256937156,2024-12-31 11:50:04-08:00,2024-12-31,-122.1426555,45.606925,558.0,,3.9,6.7,,19.7,,1022.8,Sarcomyxa serotina,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1
93cff9de-6b07-44c8-9d81-7f27a33601fc,256932320,2024-12-31 13:03:13-08:00,2024-12-31,-122.0326833333,45.3824616667,337.0,,3.9,6.7,,19.7,,1022.8,Sarcomyxa serotina,"Sandy, OR, US",1
4d65d0bf-9cd2-4e81-a5c0-3ee497d78faa,256398243,2024-12-26 12:38:48-08:00,2024-12-26,-121.9264894149,45.7043390274,239.0,,0.8,8.4,31.9,12.4,,1004.3,Sarcomyxa serotina,United States,1
920b74a1-4300-476d-9997-2c06186187f6,256124525,2024-12-15 10:33:31-08:00,2024-12-15,-121.9917305997,45.3488667,382.0,,5.0,9.4,,12.5,,1021.5,Sarcomyxa serotina,"Welches, OR 97067, USA",1
f1ab132d-f722-433d-82f5-58fe81a14531,256116821,2024-12-15 11:58:10-08:00,2024-12-15,-121.9940127997,45.3486802997,373.0,,5.0,9.4,,12.5,,1021.5,Sarcomyxa serotina,"Welches, OR 97067, USA",1
11958010-69b1-420c-9b86-5e054f1285d5,255958479,2024-12-22 11:56:18-08:00,2024-12-22,-122.0932683997,45.648305,567.0,,7.8,9.4,,27.0,,1014.8,Sarcomyxa serotina,"Stevenson, WA 98648, USA",1
745e7ba3-9105-4e2c-8257-8a05ed2a3285,255737285,2024-12-15 13:12:00-08:00,2024-12-15,-121.9562833333,45.3406222222,428.0,,5.0,9.4,,12.5,,1021.5,Sarcomyxa serotina,"Welches, Mt Hood Village, OR 97067, USA",1
b5c938e7-3507-4e63-b2b4-0f5406fb4ce6,254596403,2024-12-08 15:48:00-08:00,2024-12-08,-122.225233297,45.3055214693,383.0,,7.2,10.0,,9.1,,1026.7,Sarcomyxa serotina,"Clackamas County, OR, USA",1
84e5aa83-a220-4f86-8fd7-71b1c9399b9c,254328272,2024-12-01 14:18:32-08:00,2024-12-01,-121.9946455,45.3487384,373.0,,1.0,7.2,0.0,27.1,,1024.4,Sarcomyxa serotina,"Welches, OR 97067, USA",1
f4e0be9e-5f12-491c-8cf3-7c15398b47cf,253520585,2024-11-28 12:17:32-08:00,2024-11-28,-121.9500366667,45.3401866667,442.0,,1.1,6.7,0.0,3.2,,1025.0,Sarcomyxa serotina,"E Rolling Green Ct, Welches, OR, US",1
2e759dd4-aa69-4052-9d1f-2c9110c842d7,253483277,2024-11-28 16:30:06-08:00,2024-11-28,-121.9193633333,45.333305,495.0,,1.1,6.7,0.0,3.2,,1025.0,Sarcomyxa serotina,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1
180b242e-71ac-4a61-ae72-dfc3ab6d2bf2,251857357,2024-11-15 13:42:16-08:00,2024-11-15,-121.948662033,45.2655022789,751.0,,5.0,9.4,0.3,3.1,,1019.5,Sarcomyxa serotina,"Zigzag Ranger Station, Government Camp, OR, US",1
708f2ba7-8fed-4415-ba24-7fd0dc89fea5,251626765,2024-11-10 12:59:02-08:00,2024-11-10,-121.9422533333,45.2856666667,529.0,,10.0,13.9,,19.2,,1012.3,Sarcomyxa serotina,"Zigzag Ranger Station, Government Camp, OR, US",1
b2b72d0f-48d4-40eb-ab48-2f36cd72f5f1,251507708,2024-11-12 10:29:44-08:00,2024-11-12,-121.8211754692,45.3712914046,837.0,,6.7,9.3,8.7,9.1,,1015.5,Sarcomyxa serotina,"Clackamas County, US-OR, US",1
a00ce83e-3510-4a20-bbda-a8c4a585a151,251346450,2024-11-09 13:00:27-08:00,2024-11-09,-122.0413111111,45.2724583333,717.0,,8.3,13.3,0.0,7.7,,1015.8,Sarcomyxa serotina,"Sandy, OR 97055, USA",1
b3399ca5-211e-4412-846c-82372f3883eb,248494637,2024-10-21 11:10:45-07:00,2024-10-21,-121.879529,45.32002145,807.0,,7.9,14.3,6.6,10.2,,1017.3,Sarcomyxa serotina,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1
515d4f6f-d86b-413c-9c52-9674f75b731e,227931760,2023-12-08 13:13:00-08:00,2023-12-08,-121.8940644228,45.2985290722,618.0,,3.3,9.4,,3.2,,1028.1,Sarcomyxa serotina,"Clackamas County, OR, USA",1
70617ffd-3e76-475d-898e-47febb7254d1,195681497,2024-01-01 13:12:19-08:00,2024-01-01,-122.1032111667,45.616975,557.0,,3.9,8.9,0.0,22.2,,1022.5,Sarcomyxa serotina,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1
b4a7080f-fca9-41c8-8b2c-02dc50303075,194931673,2023-12-26 11:26:02-08:00,2023-12-26,-122.2194398152,45.539503778,61.0,,5.0,7.8,,33.2,,1018.7,Sarcomyxa serotina,"Columbia River Gorge National Scenic Area, Corbett, OR, US",1
d3606f33-ceb0-4296-8cb2-a6e630ef4a39,194784657,2023-12-24 15:09:08-08:00,2023-12-24,-122.1245216641,45.5529689941,677.0,,5.6,7.2,,31.8,,1022.0,Sarcomyxa serotina,"Zigzag Ranger Station, Corbett, OR, US",1
b2f65c75-5d33-4078-8f38-36e20d9ae9ab,194697820,2023-12-23 11:45:23-08:00,2023-12-23,-122.3075166667,45.4945366667,44.0,,0.0,6.7,0.0,6.3,,1025.6,Sarcomyxa serotina,"SE Oxbow Pkwy, Corbett, OR, US",1
733205e8-94a3-447b-b285-6f203a7985be,194234679,2023-12-17 13:27:21-08:00,2023-12-17,-122.1677111419,45.4807131704,611.0,,3.9,9.4,0.0,30.6,,1018.9,Sarcomyxa serotina,"Oregon, US",2
345048fd-1f77-40c8-b88f-5e68cf4a539a,194072083,2023-12-15 13:26:32-08:00,2023-12-15,-122.1424109861,45.5644066208,605.0,,8.3,10.0,0.0,32.0,,1023.8,Sarcomyxa serotina,"Corbett, OR 97019, USA",1
aad8e3bd-2862-4a72-846f-309e83402136,193087080,2023-12-04 12:39:52-08:00,2023-12-04,-122.2890083333,45.4929633333,128.0,,12.8,20.6,,8.1,,1016.9,Sarcomyxa serotina,"Oxbow Regional Park, Gresham, OR, US",1
e9886757-6eea-47ff-9360-25bacc34b523,193078001,2023-11-23 12:41:00-08:00,2023-11-23,-121.9392739263,45.301372194,507.0,,1.7,13.3,0.0,3.2,,1027.3,Sarcomyxa serotina,"Clackamas County, OR, USA",1
2027c17e-3e55-4d16-8ed9-c3309309ff0d,191050370,2023-11-14 13:58:32-08:00,2023-11-14,-121.9560027778,45.3406333333,438.0,,5.0,14.4,,4.4,,1015.6,Sarcomyxa serotina,"Welches, Mt Hood Village, OR 97067, USA",1
b399f28c-dfd0-4a09-a89d-dcbeddf960af,191040991,2023-11-14 14:01:14-08:00,2023-11-14,-121.9595015,45.3289786,421.0,,5.0,14.4,,4.4,,1015.6,Sarcomyxa serotina,"E Welches Rd, Welches, OR, US",1
